TransactionID,UserID,Category,Amount,Date
1,1868,Entertainment,17.64,2024-06-29
2,1338,Entertainment,142.18,2024-04-14
3,2754,Rent,92.78,2023-02-27
4,701,Utilities,19.89,2023-06-15
5,2486,Food,52.52,2023-12-01
6,2126,Food,57.132,2024-12-09
7,727,Food,13.104,2024-07-18
8,3061,Food,21.6,2023-11-09
9,4605,Rent,26.35,2024-02-06
10,2940,Rent,66.24,2023-04-29
11,912,Food,77.004,2024-09-30
12,2019,Entertainment,200.2,2024-06-11
13,2699,Entertainment,1.59,2024-08-13
14,4502,Rent,5.3,2023-12-17
15,5,Food,72.87599999999999,2024-05-17
16,2391,Rent,29.26,2024-12-07
17,2833,Utilities,1.13,2023-12-13
18,3370,Entertainment,30.27,2024-11-19
19,3704,Rent,54.53,2023-01-16
20,2906,Entertainment,22.24,2023-09-18
21,7,Utilities,13.59,2023-01-31
22,1538,Utilities,15.47,2024-04-20
23,1143,Utilities,1.66,2024-07-28
24,2242,Rent,53.25,2024-07-22
25,2276,Utilities,51.5,2024-11-05
26,4596,Entertainment,103.63,2024-02-11
27,4116,Rent,10.21,2024-11-28
28,4988,Entertainment,33.0,2023-08-29
29,950,Rent,28.08,2023-03-17
30,975,Food,29.37,2023-12-08
31,2272,Food,41.532,2024-02-11
32,4374,Rent,28.21,2023-12-19
33,2187,Utilities,0.67,2024-03-24
34,1503,Utilities,35.46,2024-07-26
35,4553,Utilities,15.18,2023-06-20
36,1439,Utilities,38.56,2024-03-05
37,710,Food,65.27,2023-10-28
38,1770,Utilities,57.12,2024-08-15
39,2172,Rent,16.48,2023-07-06
40,502,Rent,21.76,2024-07-31
41,4978,Rent,149.52,2023-12-14
42,3948,Utilities,58.53,2024-02-25
43,3968,Rent,110.59,2023-06-06
44,2793,Utilities,84.94,2024-06-03
45,2702,Rent,4.1,2024-01-06
46,1534,Entertainment,92.18,2023-01-11
47,3129,Entertainment,6.18,2024-08-27
48,2490,Entertainment,7.59,2024-10-05
49,2499,Rent,17.97,2024-01-12
50,2849,Food,17.328,2024-02-19
51,2272,Entertainment,8.5,2023-11-30
52,4213,Entertainment,134.64,2024-03-23
53,2809,Food,143.4,2024-04-21
54,2505,Entertainment,84.09,2023-01-16
55,3908,Food,111.71999999999998,2024-12-26
56,2420,Entertainment,64.73,2024-05-01
57,1338,Food,54.93,2023-11-22
58,1477,Entertainment,151.14,2023-10-21
59,2720,Food,7.21,2023-01-26
60,4106,Rent,36.65,2024-02-07
61,4898,Food,71.16,2024-12-01
62,2626,Food,6.023999999999999,2024-12-05
63,2553,Food,10.2,2023-05-16
64,2227,Rent,23.47,2023-02-11
65,2736,Food,21.576,2024-05-12
66,2290,Utilities,37.31,2023-05-06
67,1868,Utilities,13.77,2023-04-02
68,3413,Entertainment,28.0,2024-07-05
69,3332,Entertainment,35.0,2023-07-16
70,2711,Food,59.42,2023-08-17
71,2618,Food,117.73,2023-03-15
72,937,Entertainment,18.06,2023-06-16
73,3802,Rent,26.45,2023-01-31
74,2473,Entertainment,19.84,2023-07-05
75,4242,Food,2.17,2023-11-11
76,1547,Food,109.86,2023-09-16
77,2047,Utilities,101.77,2023-01-01
78,4382,Entertainment,7.33,2024-08-20
79,4095,Rent,54.21,2024-05-10
80,2319,Utilities,27.72,2024-11-05
81,198,Entertainment,21.22,2023-08-29
82,3488,Food,42.324000000000005,2024-11-24
83,3293,Utilities,9.63,2023-08-15
84,3558,Rent,49.43,2023-01-25
85,1655,Entertainment,180.68,2024-10-30
